frame_no,detection_no,class,x,y,width,height,confidence
12,15,person,93,128,50,120,0.5815
12,16,bird,1142,472,73,143,0.5737
12,17,person,711,214,54,146,0.5493
12,18,person,1475,503,84,173,0.5436
12,19,person,1679,17,56,134,0.5318
12,20,person,235,23,59,118,0.5109
12,21,bird,50,812,111,176,0.4910
12,22,person,798,69,38,120,0.4716
12,23,person,344,489,52,143,0.4571
12,24,person,1697,95,91,208,0.4446
12,25,person,1208,105,45,140,0.4429
12,26,person,1592,18,37,104,0.4406
12,27,person,984,114,59,142,0.4397
12,28,person,389,495,67,172,0.4280
12,29,person,853,62,36,129,0.4167
12,30,person,1171,134,47,117,0.3884
12,31,person,1386,0,55,180,0.3831
12,32,person,907,77,37,114,0.3811
12,33,person,48,810,112,176,0.3669
12,34,person,234,24,60,84,0.3594
12,35,person,453,508,61,130,0.3285
12,36,person,175,0,21,36,0.3214
12,37,person,1305,2,37,101,0.3073
12,38,person,572,213,54,104,0.2948
12,39,person,1605,16,58,111,0.2897
13,1,person,1130,870,97,201,0.8248
13,2,person,675,586,72,200,0.8008
13,3,person,1846,639,72,196,0.7654
13,4,person,1464,352,75,166,0.7651
13,5,person,925,191,53,136,0.7183
13,6,person,242,478,83,176,0.7180
13,7,person,754,409,56,165,0.7008
13,8,person,1389,713,87,172,0.6928
13,9,person,1800,159,63,134,0.6728
13,10,person,1479,510,81,174,0.6093
13,11,person,1089,58,49,105,0.5837
13,12,person,568,296,61,136,0.5737
13,13,person,1385,0,56,180,0.5589
13,14,person,92,127,50,121,0.5523
13,15,person,1618,15,45,111,0.5463
13,16,person,1699,95,90,210,0.5448
13,17,person,798,68,39,126,0.5382
13,18,person,1678,18,56,133,0.5336
13,19,person,851,60,37,131,0.5229
13,20,person,375,1,48,114,0.4954
13,21,person,240,24,58,110,0.4894
13,22,person,723,0,49,87,0.4781
13,23,bird,1144,465,69,129,0.4756
13,24,person,1205,102,50,126,0.4636
13,25,person,985,115,59,141,0.4219
13,26,person,1592,18,40,105,0.4186
13,27,person,711,211,55,140,0.4181
13,28,person,343,491,57,144,0.3966
13,29,person,573,214,53,101,0.3796
13,30,bird,49,815,123,171,0.3755
13,31,person,1171,134,50,116,0.3741
13,32,person,907,79,37,110,0.3688
13,33,person,1304,1,38,99,0.3681
13,34,person,387,487,75,176,0.3369
13,35,person,452,508,61,130,0.3362
13,36,person,177,0,21,33,0.3177
14,1,person,1130,865,96,205,0.8142
14,2,person,1468,355,72,162,0.8078
14,3,person,674,582,72,198,0.7858
14,4,person,1481,513,82,176,0.7518
14,5,person,1842,635,76,198,0.7436
14,6,person,753,406,58,165,0.7295
14,7,person,925,192,53,138,0.7182
14,8,bird,50,816,125,169,0.7115
14,9,person,1387,710,84,174,0.7096
14,10,person,241,479,82,176,0.6934
14,11,person,1800,161,63,131,0.6923
14,12,person,1698,93,94,216,0.6747
14,13,person,568,297,62,136,0.6347
14,14,person,1678,21,59,132,0.5780
14,15,person,798,66,38,123,0.5765
14,16,person,91,125,50,122,0.5603
14,17,person,1087,57,51,109,0.5540
14,18,person,1621,16,42,108,0.5493
14,19,person,851,59,37,131,0.5203
14,20,person,380,3,43,111,0.4803
14,21,person,1203,101,51,131,0.4623
14,22,person,1592,18,40,105,0.4528
14,23,person,1385,0,55,179,0.4281
14,24,person,573,215,55,99,0.4256
14,25,person,710,203,54,139,0.4194
14,26,person,1302,1,39,99,0.3921
14,27,person,242,22,56,114,0.3890
14,28,person,984,116,59,139,0.3704
14,29,person,1144,463,69,141,0.3591
14,30,person,1171,132,49,118,0.3560
14,31,person,722,0,49,85,0.3440
14,32,person,342,492,59,145,0.3162
14,33,person,450,507,62,130,0.3118
14,34,person,909,77,37,111,0.3060
14,35,person,388,489,74,173,0.2919
14,36,bird,1144,462,68,139,0.2842
14,37,person,177,0,22,30,0.2825
14,38,person,1896,108,22,104,0.2649
